location,pue,wue,notes
global-average,1.16,0.30,"Microsoft global datacenter average (2023-2024)"
arizona,1.13,1.52,"US - Southwest; high evaporative cooling demand"
illinois,1.25,0.52,"US - Midwest"
iowa,1.16,0.10,"US - Midwest; low water use"
texas,1.28,0.24,"US - South Central"
virginia,1.14,0.18,"US - East Coast; Northern Virginia cluster"
washington,1.16,0.70,"US - Pacific Northwest"
wyoming,1.12,0.16,"US - Mountain West; low PUE"
singapore,1.30,0.02,"Southeast Asia; high PUE, minimal water cooling"
ireland,1.18,0.02,"Europe - Western; cool climate, minimal water cooling"
netherlands,1.14,0.04,"Europe - Western"
sweden,1.16,0.05,"Europe - Nordic; renewable energy mix"
poland,1.19,0.44,"Europe - Central Eastern"
